English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
religion,دين,diin,دين,diin
religions,أديان,adyaan,أديان,adyaan
sect,طائفة,Taa'ifa,طائفة,Tayfa
sects,طوائف,Tawaa'if,طوائف,Tawaa'if
denomination,مذهب,madhab,مذهب,mazhab
denominations,مذاهب,madaahib,مذاهب,mazaahib
Muslim,مسلم,muslim,مسلم,muslim
Sunni,سنّي,sunni,سنّي,sunni
Sunnis,سنّة,sunna,سنّة,sunna
Shi'ite,شيعي,šii3i,شيعي,šii3i
Shi'ites,شيعة,šii3a,شيعة,šii3a
Alawite,علوي,3alawi,علوي,3alawi
Christian,مسيحي,masiiHi,مسيحي,masiiHi
Copt,قبطي,qibTi,قبطي,'ibTi
Copts,أقباط,aqbaaT,أقباط,a'baaT
Maronite,ماروني,maaruuni,ماروني,maruuni
Maronites,موارنة,mawaarina,موارنة,mawaarina
Orthodox,أورثودوكس,ortodoks,أورثودوكس,ortodoks
Catholic,كاثوليك,katoliik,كاثوليك,katoliik
Protestant,بروتستانت,brotestaant,بروتستانت,brotestaant
Jew,يهودي,yahuudi,يهودي,yihuudi
Jews,يهود,yahuud,يهود,yihuud
Druze,دروزي,druuzi,دروزي,druuzi
Druzes,دروز,druuz,دروز,druuz
paganism ,وثنية ,wataniyya ,وثنية ,wasaniyya 
secularism,علمانية,3ilmaaniyya,علمانية,3ilmaaniyya
monotheism,توحيدية,tawHiidiyya,توحيدية,tawHiidiyya
infidel,كافر,kaafir,كافر,kaafir
infidels,كفار,kuffaar,كفار,kuffaar
creed,عقيدة,3aqiida,عقيدة,3aqiida
creeds,عقائد دينية,3aqaa'id diiniyya,عقائد دينية,3aqaayid diiniyya
 god,اله,ilaah,اله,ilaah
 gods,آلهة,aaliha,آلهة,aaliha
God*,الله,allaah,الله,allaah
lord,رب,rabb,رب,rabb
lords,أرباب,arbaab,أرباب,arbaab
Satan,الشيطان,aš-šeiTaan,الشيطان,iš-šiTaan
Satans,الشياطين,aš-šayaaTiin,الشياطين,iš-šayaTiin
messiah,مسيح,masiiH,مسيح,masiiH
savior,مخلّص,muxalliS,مخلّص,muxalliS
Jesus,يسوع | عيسى,yasuu3 ; 3iisa ,يسوع | عيسى,yasuu3 ; 3iisa 
angel,ملاك,malaak,ملاك,malaak
angels,ملائكة,malaa'ika,ملائكة,malayka
cross,صليب,Saliib,صليب,Siliib
crosses,صلبان,Sulbaan,صلبان,Sulbaan
crescent,هلال,halaal,هلال,halaal
star of David,نجمة داوود,najmat daawuud,نجمة داوود,nigmit dawuud
mosque,جامع,jaami3,جامع,gaami3
mosques,جوامع,jawaami3,جوامع,gawaami3
prayer niche in mosques,محراب,miHraab,محراب,miHraab
prayer niche in mosques,محاريب,maHaariib,محاريب,maHaariib
minaret,مأذنة,ma'dana,مدنة,madna
minarets,مآذن,ma'aadin,مدن,midan
call to prayer,اذان,adaan,اذان,adaan
muezzin,مؤذن,mu'addin,مؤذن,mu'azzin
minbar ,منبر,minbar,منبر,mimbar
minbar s,منابر,manaabir,منابر,manaabir
Friday sermon,خطبة,xuTba,خطبة,xuTba
imam,امام,imaam,امام,imaam
imams,أئمة,a'ima,أئمة,a'ima
church,كنيسة,kaniisa,كنيسة,kiniisa
churches,كنائس,kanaa'is,كنايس,kanaayis
shrine,مزار,mazaar,مزار,mazaar
shrines,مزارات,mazaaraat,مزارات,mazaaraat
altar,مذبح,madbaH,مذبح,mazbaH
altars,مذابح,madaabiH,مذابح,mazaabiH
sanctuary,هيكل,heikal,هيكل,heikal
sanctuaries,هياكل,hayaakil,هياكل,hayaakil
synagogue,كنيس,kaniis,كنيس,kaniis
temple,معبد,ma3bad,معبد,ma3bad
temples,معابد,ma3aabid,معابد,ma3aabid
monastery,دير,deir,دير,deir
monasteries,أديار,adyaar,أديار,adyira
monk,راهب,raahib,راهب,raahib
monks,رهبان,ruhbaan,رهبان,ruhbaan
nun,راهبة,raahiba,راهبة,rahba
priest,قسيس,qassiis,قسيس,'assiis
priests,قسس,qusus,قسس,'usus
bishop,أسقف,usquf,أسقف,us'uf
bishops,أساقف,asaaqif,أساقف,asa'fa
rabbi,حاخام,Haaxaam,حاخام,Haxaam
rabbis,حاخامات,Haaxaamaat,حاخامات,Haxamaat
prophet,نبي,nabi,نبي,nabi
prophets,أنبياء,anbiyaa',أنبياء,anbiya
chapter from the Qur'an,سورة,suura,سورة,suura
chapter from the Qur'ans,سور,suwar,سور,suwar
verse from the Qur'an,آية,aaya,آية,aaya
verse from the Qur'ans,آيات,aayaat,آيات,aayaat
profession of faith,شهادة,šahaada,شهادة,šahaada
prayer,صلاة,Salaah,صلاة,Salaah
fasting,صوم,Soom,صوم,Soom
alms-giving,زكاة,zakaah,زكاة,zakaah
pilgrimage to Mecca,حج,Hajj,حج,Hagg
minor pilgrimage,عمرة,3umra,عمرة,3omra
permitted by Islam,حلال,Halaal,حلال,Halaal
forbidden by Islam,حرام,Haraam,حرام,Haraam
mass,قداس,quddaas,قداس,'oddaas
masses,قداديس,qadaadiis,قداديس,'adadiis
 saint,قديس,qiddiis,قديس,'iddiis
psalm,مزمور,mazmuur,مزمور,mazmuur
psalms,مزامير,mazaamiir,مزامير,mazamiir
hymn,ترنيمة,tarniima,ترنيمة,tarniima
hymns,ترانيم,taraaniim,ترانيم,taraniim
rosary,مسبحة,misbaHa,مسبحة,misbaHa
rosaries,مسابح,masaabiH,مسابح,masaabiH
 sermon,وعظة,wa3Za,وعظة,wa3Za
feast,عيد,3iid,عيد,3iid
feasts,أعياد,a3yaad,أعياد,a3yaad
blessing,بركة,baraka,بركة,baraka
blessings,بركات,barakaat,بركات,barakaat
repentance,توبة,tooba,توبة,tooba
forgiveness,غفران,ġufraan,غفران,ġufraan
mercy,رحمة,raHma,رحمة,raHma
fate,قدر,qadr,قدر,qadr
fates,أقدار,aqdaar,أقدار,aqdaar
morals,أخلاق,axlaaq,أخلاق,axlaa'
soul,روح,ruuH,روح,ruuH
